"","CBA_001","CBA_002","CBA_004","CBA_005","CBA_007","CBA_008"
"AGAP1",21,10,39,29,46,26
"AGAP1-IT1",0,4,0,0,2,0
"AGAP11",5,2,1,1,1,2
"AGAP2",1,3,4,0,2,3
"AGAP2-AS1",25,30,44,24,46,22
"AGAP3",22,18,45,20,46,31
"AGAP4",19,19,26,13,17,10
"AGAP5",4,10,15,5,3,10
"AGAP6",40,35,52,30,45,31
"AGAP7",0,1,0,0,0,0
"AGAP9",6,15,6,14,10,4
"AGBL1",0,1,0,0,0,0
"AGBL1-AS1",0,0,0,0,0,0
"AGBL2",23,11,9,6,8,13
"AGBL3",18,19,10,25,18,21
"AGBL4",0,1,0,0,0,1
"AGBL4-IT1",0,0,0,0,0,0
"AGBL5",310,259,362,441,352,334
"AGBL5-AS1",0,0,0,1,0,0
"AGER",2,2,8,2,2,4
"AGFG1",462,395,435,458,443,311
"AGFG2",12,4,8,3,18,16
"AGGF1",279,214,367,320,319,247
"AGK",530,386,581,472,732,370
"AGL",192,118,271,220,285,248
"AGMAT",36,33,60,67,67,30
"AGMO",2,5,0,0,0,0
"AGO1",59,52,104,103,100,71
"AGO2",28,34,31,25,45,19
"AGO3",39,80,60,67,89,38
"AGO4",57,41,59,51,75,49
"AGPAT1",102,70,150,102,126,97
"AGPAT2",131,112,183,74,150,62
"AGPAT3",137,118,129,122,185,96
"AGPAT4",29,20,29,23,34,26
"AGPAT4-IT1",0,5,2,2,2,3
"AGPAT5",936,791,1583,1281,1367,777
"AGPAT6",72,68,93,57,88,47
"AGPAT9",3,8,3,1,1,0
"AGPS",531,465,606,645,847,446
"AGR2",0,0,2,0,0,1
"AGR3",0,0,1,0,0,0
"AGRN",130,110,91,76,109,141
"AGRP",0,0,0,0,0,0
"AGT",0,0,2,1,0,1
"AGTPBP1",138,138,182,188,227,141
"AGTR1",71,62,93,85,59,30
"AGTR2",1,1,0,0,0,0
"AGTRAP",1048,870,501,469,762,633
"AGXT",0,0,0,0,0,0
"AGXT2",0,0,0,0,0,0
"AHCTF1",661,507,524,730,756,454
"AHCTF1P1",4,1,1,1,4,2
"AHCY",360,301,440,404,484,255
"AHCYL1",491,412,660,633,665,488
"AHCYL2",70,76,97,72,75,75
"AHDC1",12,27,37,28,32,38
"AHI1",1660,1366,1211,1382,1266,1100
"AHNAK",332,318,403,510,570,263
"AHNAK2",220,220,265,304,305,123
"AHR",23,9,10,4,8,12
"AHRR",0,0,2,0,0,0
"AHSA1",735,682,696,687,947,433
"AHSA2",231,237,296,272,283,225
"AHSG",0,0,0,0,0,0
"AHSP",0,0,1,3,0,0
"AICDA",0,2,0,2,0,0
"AIDA",1014,694,609,787,779,478
"AIF1",0,0,0,0,0,0
"AIF1L",2,1,2,0,11,5
"AIFM1",323,197,450,286,369,197
"AIFM2",55,37,43,74,62,38
"AIFM3",0,0,1,0,4,1
"AIG1",420,349,578,463,620,524
"AIM1",309,259,384,321,321,178
"AIM1L",13,8,10,5,0,5
"AIM2",23,28,5,7,3,6
"AIMP1",2556,2143,2127,3073,2930,1996
"AIMP2",1587,1402,1911,1973,2092,1263
"AIP",373,371,680,533,558,408
"AIPL1",7,2,0,0,0,5
"AIRE",0,0,0,0,0,0
"AIRN",0,2,1,2,0,0
"AJAP1",2,0,0,0,0,1
"AJUBA",84,93,53,117,84,34
"AK1",460,402,716,706,620,502
"AK2",2265,1920,2453,3033,2842,1919
"AK3",1260,1040,1291,1237,1397,963
"AK4",153,156,181,212,178,85
"AK5",278,207,207,264,361,62
"AK6",2210,1878,1883,3111,2561,1873
"AK7",1,1,3,2,6,1
"AK8",0,0,1,4,2,3
"AK9",52,76,54,33,43,47
"AKAP1",116,67,110,152,137,121
"AKAP10",173,148,160,153,186,131
"AKAP11",604,451,853,920,930,863
"AKAP12",675,682,864,1072,1225,668
"AKAP13",119,106,188,87,189,183
"AKAP14",2,0,0,0,0,0
"AKAP17A",86,49,87,67,91,50
"AKAP17A-2",0,0,0,0,0,0
"AKAP2",372,344,198,333,458,169
"AKAP3",1,8,6,2,6,3
"AKAP4",1,0,0,0,0,0
"AKAP5",16,14,40,14,13,13
"AKAP6",14,19,15,16,14,12
"AKAP7",234,162,119,135,159,122
"AKAP8",122,126,117,141,130,131
"AKAP8L",166,191,125,83,152,100
